Model,Train_error,Test_error
LR_w2v,0.5380922998997785,0.5753507689227694
LR_glove,0.4997407660486903,0.5725728083505696
LR_w2v_1,0.2201118873276054,0.3542272859220235
LR_w2v_2,0.3368649089586422,0.5768168443769489
LR_w2v_3,0.3575256222010905,0.6095025802604259
LR_w2v_4,0.2186976829044263,0.4226315329302603
LR_w2v_5,0.2269144390347588,0.394009510762263
LR_w2v_6,0.2015080706609453,0.3890184828266537
LR_w2v_7,0.2874916447915179,0.5766635227260819
LR_w2v_8,1.2427997132686348,6.227216164597816
LR_glove_1,0.2201118873276054,0.3542272859220235
LR_glove_2,0.3368649089586422,0.5768168443769489
LR_glove_3,0.3575256222010905,0.6095025802604259
LR_glove_4,0.2186976829044263,0.4226315329302603
LR_glove_5,0.2269144390347588,0.394009510762263
LR_glove_6,0.2015080706609453,0.3890184828266537
LR_glove_7,0.2874916447915179,0.5766635227260819
LR_glove_8,1.2427997132686348,6.227216164597816
SVM_w2v_1e-05,0.9243570262367188,0.9299095770681992
SVM_w2v_0.0001,0.8863930191317467,0.8933597183944451
SVM_w2v_0.001,0.8012758282922856,0.8098834619541181
SVM_w2v_0.01,0.7019365379793141,0.7074385617140545
SVM_w2v_0.1,0.6291442849440364,0.6344892989639589
SVM_w2v_10,1.607528510118454,1.6625343718120726
SVM_w2v_100,4.903010253826207,5.080482887897022
SVM_w2v_1000,1.7495612633931257,1.7000025094140567
SVM_w2v_10000,1.912043025169288,1.976974512380396
SVM_glove_1e-05,0.6946003441414339,0.7400717113446437
SVM_glove_0.0001,0.5843829687707703,0.6337942478880756
SVM_glove_0.001,0.5498852856012644,0.6073291989686824
SVM_glove_0.01,0.5181868292647573,0.5794459066022467
SVM_glove_0.1,0.5216025379376209,0.5898318981304858
SVM_glove_10,2.379771249912855,2.4560299653229736
SVM_glove_100,1.000228403945128,1.048487357818297
SVM_glove_1000,2.2136657626064844,2.2388680968855024
SVM_glove_10000,4.258928220549136,4.440918676264452
SVM_w2v_1,0.7139745742804351,0.7215256221512902
SVM_w2v_1,0.7139745742804351,0.7215256221512902
SVM_glove_1,0.5554508040775918,0.630256787471481
NN_w2v_10_10,0.6612181663513184,0.6543397903442383
NN_w2v_10_25,0.6534833312034607,0.6485725045204163
NN_w2v_10_50,0.6807330846786499,0.6664714813232422
NN_w2v_10_100,0.6528764963150024,0.6419486403465271
