VIF,variable
34.33209485665093,essay_set
9.582689752796021,nb_words
1.2234507545168618,nb_organization
1.8988463442890848,nb_caps
1.4777109291070347,nb_person
1.4151515336873504,nb_location
1.045854374811047,nb_money
1.1407490603945112,nb_time
1.473906216511194,nb_date
1.6053470011006794,nb_percent
3.6762919153741924,nb_orth_error
73970.44132463816,vec_0
136112.5758690433,vec_1
224364.48043164183,vec_2
113648.20962855895,vec_3
277055.79709357576,vec_4
27086.368553740587,vec_5
173268.02096378055,vec_6
18458.652522040917,vec_7
231281.1983637653,vec_8
141736.13835335974,vec_9
96052.72907968871,vec_10
42767.27500490644,vec_11
189290.33551173203,vec_12
41492.376472683645,vec_13
62587.23686005517,vec_14
127548.65873925622,vec_15
184566.26875460803,vec_16
73377.67382817231,vec_17
104041.46713323584,vec_18
40040.03149754616,vec_19
70494.48185408286,vec_20
87695.78847063423,vec_21
61361.52720687599,vec_22
74038.87957286516,vec_23
89596.57538189551,vec_24
29035.850730701753,vec_25
66336.8020217289,vec_26
19122.393702137502,vec_27
41343.20408198787,vec_28
157045.44773356206,vec_29
99177.03056235959,vec_30
15068.167546078606,vec_31
162675.1254131522,vec_32
56657.837080209036,vec_33
30833.807873259928,vec_34
55712.70841005521,vec_35
99531.6435737205,vec_36
264620.2877674492,vec_37
152099.0410586958,vec_38
40967.54487982526,vec_39
26343.88619393927,vec_40
260332.17529794254,vec_41
28718.427607660764,vec_42
420354.7496727946,vec_43
216186.87895625606,vec_44
21782.022642675576,vec_45
123558.38020244034,vec_46
98977.60930714943,vec_47
111858.32720885522,vec_48
60014.64784252071,vec_49
42036.5054032354,vec_50
248785.80658030236,vec_51
92445.20917905253,vec_52
218531.07545226172,vec_53
105106.0690675788,vec_54
18805.07056633062,vec_55
34795.209949433025,vec_56
248570.75278368118,vec_57
74079.24271507606,vec_58
27386.796424948097,vec_59
96853.81053630823,vec_60
129941.5166759768,vec_61
77229.6322743988,vec_62
27272.617210950644,vec_63
146577.01944151215,vec_64
95892.24197602557,vec_65
101628.99260565615,vec_66
73008.16941525898,vec_67
143058.39407693569,vec_68
51347.516223987936,vec_69
205847.3113484789,vec_70
112049.72565674197,vec_71
37208.6813480579,vec_72
76627.90040711118,vec_73
32060.86403559287,vec_74
39991.03962793358,vec_75
367184.2627764116,vec_76
84309.15216501257,vec_77
110043.41516003544,vec_78
424735.7315694762,vec_79
225246.74836772273,vec_80
200006.73815146842,vec_81
205230.44513967464,vec_82
141666.5990030976,vec_83
71147.71693603502,vec_84
110351.30564526642,vec_85
114992.29584646659,vec_86
157622.49305483417,vec_87
516496.18999278825,vec_88
123258.05852694754,vec_89
37194.942331024366,vec_90
28256.509742670787,vec_91
100744.85190238686,vec_92
51426.9883671589,vec_93
255794.3420831841,vec_94
80765.98896538423,vec_95
94633.99290695258,vec_96
253742.1067001416,vec_97
238834.821303755,vec_98
107197.9601932309,vec_99
144586.0468456439,vec_100
114571.7405306237,vec_101
